titulo,autores,journal,ano,volume,paginas,doi,data_download,area_tematica,incorporado_em_documento,data_incorporacao
Primary Septal Cartilage Graft for Unilateral Cleft Rhinoplasty: 10-Year Follow-Up Results,Ueno K et al.,Plast Reconstr Surg,2026,157,563e-572e,10.1097/PRS.0000000000012525,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Aspects and Concepts of What I Preserve in Rhinoplasty,Sergesketter AR et al.,Plast Reconstr Surg,2026,157,496e-503e,10.1097/PRS.0000000000012482,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Positioning the Nasal Tip in Rhinoplasty,Mattos D et al.,Plast Reconstr Surg,2025,156,606e-615e,10.1097/PRS.0000000000012163,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Surgical and Patient-Reported Outcomes of Fresh Frozen Homologous Costal Cartilage in Rhinoplasty,Taylor CM et al.,Plast Reconstr Surg,2026,157,28e-37e,10.1097/PRS.0000000000012303,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Grafting in Rhinoplasty: A Survey of Surgeon Preferences When Donor Material Is Limited,Rohrich RN et al.,Plast Reconstr Surg,2026,157,54-61,10.1097/PRS.0000000000012301,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Nasolabial Flap Variations and Alternatives in Nasal Ala Reconstruction,Andresen JR et al.,Plast Reconstr Surg,2026,157,553-565,10.1097/PRS.0000000000012409,2026-03-28,Rinoplastia,,
Retrospective Review of Open Tip Plasty for Bilateral Cleft Nasal Deformity,Mohan VC et al.,Plast Reconstr Surg,2025,156,30S-40S,10.1097/PRS.0000000000012370,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Three-Dimensional Efficacy Evaluation of Nasal Symmetry in Unilateral Cleft Lip Primary Repair,Xu Y et al.,Plast Reconstr Surg,2025,156,466-475,10.1097/PRS.0000000000011975,2026-03-28,Rinoplastia,,
Local Tranexamic Acid vs Placebo in Patients Undergoing Septorhinoplasty: Meta-analysis of RCTs,Di Martino L et al.,Aesthet Surg J,2025,45,1220-1226,10.1093/asj/sjaf172,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Scalpel vs Electrocautery for Upper Lateral Cartilage Contouring in Dorsal Preservation Rhinoplasty,Şibar S et al.,Aesthet Surg J,2025,46,16-23,10.1093/asj/sjaf180,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Diced Cartilage Grafts Semi-wrapped in Rectus Abdominis Fascia for Nasal Dorsum Augmentation,Niu K et al.,Aesthet Surg J,2025,46,24-30,10.1093/asj/sjaf183,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Integrated Biomimetic Groove Graft for Moderate-to-Severe Saddle-Nose Deformity Correction,Duan Y et al.,Aesthet Surg J,2025,45,1115-1124,10.1093/asj/sjaf134,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
One Profile to Rule Them All? A Neural Network Analysis of the Homogenizing Effect of Rhinoplasty,Khaw KL et al.,Aesthet Surg J,2025,45,1012-1016,10.1093/asj/sjaf109,2026-03-28,Rinoplastia,,
Thirty-Year Experience in Augmentation Rhinoplasty Using Silicone Implants,Kwan E et al.,Aesthet Surg J,2025,45,887-892,10.1093/asj/sjaf102,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Strategic Use of the V-Shaped Columella-Labial Incision for Reconstructive Rhinoplasty,Sazgar AA et al.,Aesthet Surg J,2025,45,770-779,10.1093/asj/sjaf060,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Fat Repositioning with Deep Fat Excision in Transcutaneous Lower Blepharoplasty,Chen J et al.,Plast Reconstr Surg,2026,157,622-631,10.1097/PRS.0000000000012416,2026-03-28,Blefaroplastia,12-2-Blefaroplastia.docx,2026-03-28
Subtarsal Capsulopalpebral Fascia Incision: New Paradigm for Ectropion-Free Lower Blepharoplasty,Nomoto S et al.,Plast Reconstr Surg,2026,157,486e-495e,10.1097/PRS.0000000000012429,2026-03-28,Blefaroplastia,12-2-Blefaroplastia.docx,2026-03-28
Early Grafting Using AlloDerm to Correct Upper Eyelid Retraction Caused by Cosmetic Blepharoplasty,Park NS et al.,Plast Reconstr Surg,2025,156,189e-193e,10.1097/PRS.0000000000011980,2026-03-28,Blefaroplastia,12-2-Blefaroplastia.docx,2026-03-28
Aesthetic Correction of Mild Blepharoptosis: Balancing the Effect of Hering's Law,Li X et al.,Plast Reconstr Surg,2026,157,38e-48e,10.1097/PRS.0000000000012230,2026-03-28,Blefaroplastia,12-2-Blefaroplastia.docx,2026-03-28
Single-Stage Management of Recalcitrant Eyelid Festoons,Gur Z et al.,Plast Reconstr Surg,2025,156,725-729,10.1097/PRS.0000000000012170,2026-03-28,Blefaroplastia,,
A Conservative Crease-Height-Adjustable Asian Double-Eyelid Surgery,Yu AY et al.,Plast Reconstr Surg,2025,156,29-40,10.1097/PRS.0000000000011948,2026-03-28,Blefaroplastia,12-2-Blefaroplastia.docx,2026-03-28
Practice Patterns in Blepharoplasty: 15-Year Review of ABPS Data,Stein MJ et al.,Plast Reconstr Surg,2025,155,895-901,10.1097/PRS.0000000000011843,2026-03-28,Blefaroplastia,12-2-Blefaroplastia.docx,2026-03-28
Check Ligament Suspension for Severe Congenital Blepharoptosis,Cang ZQ et al.,Plast Reconstr Surg,2025,156,937-946,10.1097/PRS.0000000000012166,2026-03-28,Blefaroplastia,,
Functional and Aesthetic Outcomes After Upper Blepharoplasty: Meta-analysis of RCTs,Todorov D et al.,Aesthet Surg J,2025,45,554-562,10.1093/asj/sjaf022,2026-03-28,Blefaroplastia,12-2-Blefaroplastia.docx,2026-03-28
An Integrated Lateral Canthoplasty for Simultaneous Lateral and Vertical Palpebral Fissure Enlargement,Xu P et al.,Aesthet Surg J,2025,45,755-760,10.1093/asj/sjaf062,2026-03-28,Blefaroplastia,,
Wide Double-Eyelid Fold Repair Using an Orbital Septum Flap,Chen Q et al.,Aesthet Surg J,2025,45,882-886,10.1093/asj/sjaf064,2026-03-28,Blefaroplastia,,
The Wonder of Sutureless Müllerectomy,Atar-Vardi M et al.,Aesthet Surg J,2025,45,1109-1114,10.1093/asj/sjaf115,2026-03-28,Blefaroplastia,,
Demystifying Deep Layer Face-Lift Techniques: Systematic Review of SMAS Techniques,Schultz KP et al.,Plast Reconstr Surg,2026,157,615-620,10.1097/PRS.0000000000012526,2026-03-28,Ritidoplastia,12-3-Ritidoplastia.docx,2026-03-28
Role of Selective Neck Sutures in Face Lifts,Ganesh Kumar N et al.,Plast Reconstr Surg,2025,156,194e-197e,10.1097/PRS.0000000000011968,2026-03-28,Ritidoplastia,12-3-Ritidoplastia.docx,2026-03-28
Deep Plane Face Lift in Asian Patients,Wong CH et al.,Plast Reconstr Surg,2025,156,485e-496e,10.1097/PRS.0000000000012102,2026-03-28,Ritidoplastia,12-3-Ritidoplastia.docx,2026-03-28
Complete Platysma Muscle Suspension in Deep-Plane Face-Lift Surgery,Timberlake AT et al.,Plast Reconstr Surg,2025,155,699e-703e,10.1097/PRS.0000000000011705,2026-03-28,Ritidoplastia,12-3-Ritidoplastia.docx,2026-03-28
Temporal Modified Orbicularis Repositioning: Going beyond the Limits of Temporal Lifting,Pascali M et al.,Plast Reconstr Surg,2025,155,783-794,10.1097/PRS.0000000000011752,2026-03-28,Ritidoplastia,,
The U-SMAS Lift,Movassaghi K et al.,Plast Reconstr Surg,2025,155,632-636,10.1097/PRS.0000000000011673,2026-03-28,Ritidoplastia,12-3-Ritidoplastia.docx,2026-03-28
Use of AI Model in Preoperative Counseling for Lip-Lift Procedures,Huang RS et al.,Plast Reconstr Surg,2025,156,47e-50e,10.1097/PRS.0000000000011860,2026-03-28,Ritidoplastia,,
Local Tranexamic Acid in Facelift Surgery — Matched Single-Surgeon Cohort,Darras O et al.,Aesthet Surg J,2025,45,1213-1219,10.1093/asj/sjaf130,2026-03-28,Ritidoplastia,12-3-Ritidoplastia.docx,2026-03-28
Endoscopic Deep Plane Facelift: A Classified Approach,Firat M,Aesthet Surg J,2025,45,989-1001,10.1093/asj/sjaf110,2026-03-28,Ritidoplastia,,
In vivo Anatomy of the Facial Nerve: Implications for Partial Parotidectomy in Neck Lift,Ch'ng S et al.,Aesthet Surg J,2025,45,1101-1108,10.1093/asj/sjaf126,2026-03-28,Ritidoplastia,,
Innovations in Rhytidoplasty: 480 Cases Validating the Efficacy of the Inner Hemostatic Net,Pellini E et al.,Aesthet Surg J,2025,45,875-881,10.1093/asj/sjaf108,2026-03-28,Ritidoplastia,,
Effective Recontouring of the Neck by Complete Platysmal Transection,Bartow MJ et al.,Aesthet Surg J,2025,45,448-453,10.1093/asj/sjaf023,2026-03-28,Ritidoplastia,12-3-Ritidoplastia.docx,2026-03-28
Forehead Lift With Cross-frontal Scalp Anchorage,Gencer M et al.,Aesthet Surg J,2025,45,333-340,10.1093/asj/sjae253,2026-03-28,Ritidoplastia,,
Long-term Stability in Endoscopic Brow Lift: Systematic Review and Meta-Analysis,Şibar S et al.,Aesthet Surg J,2025,45,232-240,10.1093/asj/sjae225,2026-03-28,Ritidoplastia,12-3-Ritidoplastia.docx,2026-03-28
Microfocused Ultrasound With Visualization (MFU-V) Effectiveness: Systematic Review and Meta-Analysis,Amiri M et al.,Aesthet Surg J,2025,45,NP86-NP94,10.1093/asj/sjae228,2026-03-28,Ritidoplastia,12-3-Ritidoplastia.docx,2026-03-28
Further Refinements in Otoplasty: Modified Approach Using a Postauricular Dermofascial Flap,Bulstrode NW et al.,Plast Reconstr Surg,2024,154,1191e-1199e,10.1097/PRS.0000000000011342,2026-03-28,Otoplastia,12-4-Otoplastia.docx,2026-03-28
Cartilage-Sparing Otoplasty: A New Approach,Benkler M et al.,Plast Reconstr Surg,2023,152,689e-692e,10.1097/PRS.0000000000010401,2026-03-28,Otoplastia,12-4-Otoplastia.docx,2026-03-28
Otoplasty: The Belfast Experience. A 10-Year Review of 2333 Ear Outcomes,McGarry KM et al.,Plast Reconstr Surg,2023,151,388e-397e,10.1097/PRS.0000000000009908,2026-03-28,Otoplastia,12-4-Otoplastia.docx,2026-03-28
Revisiting Primary Otoplasty: Surgical Approach to the Prominent Ear,Savetsky IL et al.,Plast Reconstr Surg,2021,148,28e-31e,10.1097/PRS.0000000000008105,2026-03-28,Otoplastia,,
Utilization of Free Soft Tissue Grafts in Otoplasty to Avoid Suture Extrusion,Alzayadneh I et al.,Aesthet Surg J,2022,42,NP571-NP575,10.1093/asj/sjac079,2026-03-28,Otoplastia,12-4-Otoplastia.docx,2026-03-28
Cartilage Curvature Reshaping: A Quantitative Assessment,As'adi K et al.,Aesthet Surg J,2022,42,NP206-NP215,10.1093/asj/sjab328,2026-03-28,Otoplastia,,
A Bibliometric Analysis of the 100 Most-Cited Articles on Otoplasty,Arif F et al.,Aesthet Surg J,2024,44,NP762-NP768,10.1093/asj/sjae157,2026-03-28,Otoplastia,,
